id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Male,44,1,28,0,> 2 Years,Yes,40454,26,217,1
3,Male,47,1,28,0,> 2 Years,Yes,38294,26,27,1
8,Female,56,1,28,0,1-2 Year,Yes,32031,26,72,1
11,Female,47,1,35,0,1-2 Year,Yes,47576,124,46,1
16,Male,37,1,6,0,1-2 Year,Yes,2630,156,147,1
20,Female,60,1,33,0,1-2 Year,Yes,32363,124,102,1
27,Female,51,1,28,0,1-2 Year,Yes,38341,124,49,1
30,Male,57,1,11,0,1-2 Year,Yes,25679,157,232,1
58,Male,54,1,28,0,1-2 Year,Yes,25205,26,283,1
70,Female,50,1,41,0,1-2 Year,Yes,2630,26,81,1
79,Male,29,1,28,0,1-2 Year,Yes,42567,26,167,1
90,Female,20,1,36,0,< 1 Year,Yes,46275,160,281,1
106,Female,44,1,28,0,1-2 Year,Yes,50521,26,22,1
114,Male,50,1,30,0,1-2 Year,Yes,34271,26,229,1
121,Male,39,1,3,0,1-2 Year,Yes,37239,26,216,1
124,Male,34,1,18,0,1-2 Year,Yes,38232,124,156,1
131,Male,50,1,28,0,1-2 Year,Yes,57389,26,155,1
136,Female,43,1,41,0,1-2 Year,Yes,2630,26,19,1
149,Female,38,1,28,0,1-2 Year,Yes,34471,124,234,1
157,Female,41,1,28,0,1-2 Year,Yes,54740,124,212,1
167,Female,28,1,44,0,1-2 Year,Yes,37570,156,258,1
179,Male,46,1,28,0,1-2 Year,Yes,60478,26,128,1
198,Male,42,1,3,0,1-2 Year,Yes,32293,124,105,1
202,Female,41,1,28,0,1-2 Year,Yes,22561,124,207,1
205,Female,30,1,28,0,< 1 Year,Yes,39104,122,263,1
213,Male,44,1,28,0,> 2 Years,Yes,42754,124,23,1
224,Female,61,1,28,0,> 2 Years,Yes,2630,157,190,1
236,Male,23,1,39,0,< 1 Year,Yes,29575,152,281,1
